n,input_graph6,output_graph6,case,move,N_old,R_old,N_new,R_new,cross_score,mean_gain
17,PhCP?C__??_@?A_???K??_??,PhCP@?__??_@?A_???K??_??,leaf_degree_two,pendant_path_fold,2391,23313,3130,30795,661155,44077/498922
17,PhCP?C__??_@?A_?O?C??_??,PhCP@?__??_@?A_?O?C??_??,leaf_degree_two,pendant_path_fold,3158,30975,4137,40921,1084943,1084943/13064646
17,PhCP?C__??_@?C??_A??@?C?,PhCP@?__??_@?C??_A??@?C?,leaf_degree_two,pendant_path_fold,1895,18554,2464,24429,575899,575899/4669280
17,PhCP?C__??_@?C??_A??@_??,PhCP@?__??_@?C??_A??@_??,leaf_degree_two,pendant_path_fold,1900,18637,2479,24583,506577,506577/4710100
17,PhCP?C__??_@?C??_A??_?C?,PhCP@?__??_@?C??_A??_?C?,leaf_degree_two,pendant_path_fold,2488,24573,3237,32356,958927,958927/8053656
17,PhCP?C__??_@?C??_A??__??,PhCP@?__??_@?C??_A??__??,leaf_degree_two,pendant_path_fold,2484,24611,3243,32465,829587,12023/116748
17,PhCP?C__??_@?C??_AC????C,PhCP@?__??_@?C??_AC????C,leaf_degree_two,pendant_path_fold,1923,18842,2512,24869,491983,491983/4830576
17,PhCP?C__??_@?C??_AC??_??,PhCP@?__??_@?C??_AC??_??,leaf_degree_two,pendant_path_fold,2530,24998,3309,33004,781738,390869/4185885
17,PhCP?C__??_@?C??o???@??C,PhCP@?__??_@?C??o???@??C,leaf_degree_two,pendant_path_fold,1372,13153,1791,17363,265013,37859/351036
17,PhCP?C__??_@?C??o???@??G,PhCP@?__??_@?C??o???@??G,leaf_degree_two,pendant_path_fold,1692,16517,2211,21807,378357,126119/1247004
17,PhCP?C__??_@?C??o???@_??,PhCP@?__??_@?C??o???@_??,leaf_degree_two,pendant_path_fold,2010,19556,2629,25826,497536,248768/2642145
17,PhCP?C__??_@?C??o?C??_??,PhCP@?__??_@?C??o?C??_??,leaf_degree_two,pendant_path_fold,2649,25962,3468,34292,803292,66941/765561
17,PhCP?C__??_@?C?C?A??_?C?,PhCP@?__??_@?C?C?A??_?C?,leaf_degree_two,pendant_path_fold,3279,32599,4268,42926,1621822,810911/6997386
17,PhCP?C__??_@?C?C?A??__??,PhCP@?__??_@?C?C?A??__??,leaf_degree_two,pendant_path_fold,3263,32577,4262,42975,1384251,1384251/13906906
17,PhCP?C__??_@?C?C?AC????C,PhCP@?__??_@?C?C?AC????C,leaf_degree_two,pendant_path_fold,2504,24801,3273,32736,797271,265757/2731864
17,PhCP?C__??_@?C?C?AC??_??,PhCP@?__??_@?C?C?AC??_??,leaf_degree_two,pendant_path_fold,3303,32937,4322,43487,1283847,427949/4758522
17,PhCP?C__??_@?C?CO???@??C,PhCP@?__??_@?C?CO???@??C,leaf_degree_two,pendant_path_fold,1758,17120,2297,22602,409676,204838/2019063
17,PhCP?C__??_@?C?CO???@??G,PhCP@?__??_@?C?CO???@??G,leaf_degree_two,pendant_path_fold,2174,21522,2843,28417,591512,295756/3090341
17,PhCP?C__??_@?C?CO???@_??,PhCP@?__??_@?C?CO???@_??,leaf_degree_two,pendant_path_fold,2588,25503,3387,33681,787767,262589/2921852
17,PhCP?C__??_@?C?CO?C??_??,PhCP@?__??_@?C?CO?C??_??,leaf_degree_two,pendant_path_fold,3419,33889,4478,44763,1289755,1289755/15310282
17,PhCP?C__??_@?C_???G?@??O,PhCP@?__??_@?C_???G?@??O,leaf_degree_two,pendant_path_fold,1659,16166,2168,21345,363467,363467/3596712
17,PhCP?C__??_@?C_???G?@_??,PhCP@?__??_@?C_???G?@_??,leaf_degree_two,pendant_path_fold,1880,18163,2459,23989,436503,436503/4622920
17,PhCP?C__??_@?C_???G?A??O,PhCP@?__??_@?C_???G?A??O,leaf_degree_two,pendant_path_fold,2108,20853,2757,27536,554167,554167/5811756
17,PhCP?C__??_@?C_???G?A_??,PhCP@?__??_@?C_???G?A_??,leaf_degree_two,pendant_path_fold,2328,22847,3047,30177,637247,637247/7093416
17,PhCP?C__??_@?C_???K????C,PhCP@?__??_@?C_???K????C,leaf_degree_two,pendant_path_fold,2103,20390,2752,26933,526819,526819/5787456
17,PhCP?C__??_@?C_???K??_??,PhCP@?__??_@?C_???K??_??,leaf_degree_two,pendant_path_fold,2774,27078,3633,35772,857154,142859/1679657
